path,label
paper\paper_817.png,paper
paper\paper_711.png,paper
paper\paper_623.png,paper
scissors\scissors_606.png,scissors
rock\rock_768.png,rock
scissors\scissors_26.png,scissors
paper\paper_35.png,paper
paper\paper_673.png,paper
rock\rock_189.png,rock
scissors\scissors_124.png,scissors
scissors\scissors_63.png,scissors
rock\rock_94.png,rock
scissors\scissors_489.png,scissors
rock\rock_114.png,rock
scissors\scissors_409.png,scissors
paper\paper_374.png,paper
rock\rock_523.png,rock
scissors\scissors_899.png,scissors
scissors\scissors_499.png,scissors
scissors\scissors_671.png,scissors
scissors\scissors_814.png,scissors
rock\rock_496.png,rock
rock\rock_16.png,rock
rock\rock_5.png,rock
paper\paper_697.png,paper
rock\rock_420.png,rock
rock\rock_759.png,rock
scissors\scissors_560.png,scissors
paper\paper_761.png,paper
rock\rock_391.png,rock
scissors\scissors_251.png,scissors
scissors\scissors_729.png,scissors
scissors\scissors_542.png,scissors
paper\paper_627.png,paper
rock\rock_337.png,rock
rock\rock_604.png,rock
paper\paper_565.png,paper
scissors\scissors_431.png,scissors
rock\rock_745.png,rock
rock\rock_283.png,rock
paper\paper_351.png,paper
rock\rock_443.png,rock
rock\rock_778.png,rock
paper\paper_415.png,paper
rock\rock_564.png,rock
rock\rock_539.png,rock
paper\paper_794.png,paper
rock\rock_728.png,rock
scissors\scissors_377.png,scissors
scissors\scissors_226.png,scissors
paper\paper_537.png,paper
scissors\scissors_27.png,scissors
rock\rock_562.png,rock
paper\paper_155.png,paper
paper\paper_378.png,paper
paper\paper_712.png,paper
scissors\scissors_327.png,scissors
rock\rock_666.png,rock
paper\paper_751.png,paper
rock\rock_704.png,rock
paper\paper_744.png,paper
paper\paper_638.png,paper
scissors\scissors_256.png,scissors
paper\paper_563.png,paper
scissors\scissors_49.png,scissors
rock\rock_102.png,rock
paper\paper_564.png,paper
paper\paper_815.png,paper
rock\rock_319.png,rock
rock\rock_267.png,rock
scissors\scissors_532.png,scissors
scissors\scissors_234.png,scissors
scissors\scissors_900.png,scissors
paper\paper_421.png,paper
paper\paper_224.png,paper
paper\paper_605.png,paper
rock\rock_287.png,rock
scissors\scissors_177.png,scissors
paper\paper_381.png,paper
rock\rock_346.png,rock
paper\paper_567.png,paper
paper\paper_231.png,paper
paper\paper_854.png,paper
paper\paper_14.png,paper
scissors\scissors_479.png,scissors
rock\rock_70.png,rock
rock\rock_184.png,rock
paper\paper_265.png,paper
rock\rock_720.png,rock
paper\paper_860.png,paper
paper\paper_527.png,paper
paper\paper_92.png,paper
paper\paper_884.png,paper
scissors\scissors_757.png,scissors
rock\rock_210.png,rock
rock\rock_425.png,rock
rock\rock_665.png,rock
scissors\scissors_133.png,scissors
scissors\scissors_168.png,scissors
rock\rock_586.png,rock
rock\rock_224.png,rock
scissors\scissors_184.png,scissors
paper\paper_268.png,paper
paper\paper_320.png,paper
scissors\scissors_784.png,scissors
rock\rock_175.png,rock
rock\rock_185.png,rock
rock\rock_92.png,rock
paper\paper_477.png,paper
scissors\scissors_71.png,scissors
rock\rock_860.png,rock
paper\paper_218.png,paper
paper\paper_349.png,paper
scissors\scissors_72.png,scissors
scissors\scissors_497.png,scissors
rock\rock_757.png,rock
paper\paper_46.png,paper
scissors\scissors_185.png,scissors
paper\paper_707.png,paper
paper\paper_599.png,paper
rock\rock_483.png,rock
scissors\scissors_629.png,scissors
rock\rock_382.png,rock
paper\paper_667.png,paper
rock\rock_906.png,rock
paper\paper_471.png,paper
rock\rock_430.png,rock
paper\paper_672.png,paper
rock\rock_326.png,rock
scissors\scissors_515.png,scissors
scissors\scissors_172.png,scissors
paper\paper_385.png,paper
scissors\scissors_76.png,scissors
rock\rock_286.png,rock
paper\paper_757.png,paper
rock\rock_85.png,rock
paper\paper_100.png,paper
paper\paper_716.png,paper
rock\rock_714.png,rock
rock\rock_526.png,rock
scissors\scissors_620.png,scissors
scissors\scissors_608.png,scissors
scissors\scissors_456.png,scissors
paper\paper_71.png,paper
paper\paper_859.png,paper
paper\paper_91.png,paper
scissors\scissors_785.png,scissors
rock\rock_549.png,rock
scissors\scissors_285.png,scissors
rock\rock_752.png,rock
paper\paper_691.png,paper
scissors\scissors_366.png,scissors
paper\paper_686.png,paper
scissors\scissors_501.png,scissors
paper\paper_85.png,paper
rock\rock_737.png,rock
rock\rock_640.png,rock
paper\paper_666.png,paper
paper\paper_300.png,paper
scissors\scissors_241.png,scissors
paper\paper_373.png,paper
rock\rock_254.png,rock
scissors\scissors_187.png,scissors
rock\rock_558.png,rock
paper\paper_392.png,paper
rock\rock_686.png,rock
scissors\scissors_896.png,scissors
scissors\scissors_510.png,scissors
rock\rock_789.png,rock
scissors\scissors_663.png,scissors
paper\paper_803.png,paper
rock\rock_173.png,rock
paper\paper_345.png,paper
scissors\scissors_520.png,scissors
scissors\scissors_848.png,scissors
scissors\scissors_84.png,scissors
rock\rock_311.png,rock
paper\paper_474.png,paper
rock\rock_699.png,rock
scissors\scissors_62.png,scissors
scissors\scissors_107.png,scissors
paper\paper_755.png,paper
rock\rock_697.png,rock
paper\paper_839.png,paper
scissors\scissors_209.png,scissors
paper\paper_570.png,paper
rock\rock_898.png,rock
scissors\scissors_568.png,scissors
scissors\scissors_545.png,scissors
paper\paper_401.png,paper
paper\paper_294.png,paper
scissors\scissors_695.png,scissors
rock\rock_484.png,rock
scissors\scissors_100.png,scissors
rock\rock_486.png,rock
scissors\scissors_341.png,scissors
scissors\scissors_576.png,scissors
rock\rock_882.png,rock
paper\paper_692.png,paper
rock\rock_584.png,rock
scissors\scissors_304.png,scissors
paper\paper_869.png,paper
scissors\scissors_426.png,scissors
paper\paper_459.png,paper
scissors\scissors_348.png,scissors
rock\rock_58.png,rock
scissors\scissors_593.png,scissors
paper\paper_696.png,paper
scissors\scissors_633.png,scissors
rock\rock_429.png,rock
paper\paper_578.png,paper
scissors\scissors_178.png,scissors
rock\rock_73.png,rock
paper\paper_363.png,paper
scissors\scissors_86.png,scissors
scissors\scissors_47.png,scissors
scissors\scissors_52.png,scissors
paper\paper_53.png,paper
paper\paper_431.png,paper
paper\paper_253.png,paper
paper\paper_789.png,paper
rock\rock_424.png,rock
rock\rock_434.png,rock
paper\paper_237.png,paper
rock\rock_521.png,rock
rock\rock_873.png,rock
scissors\scissors_118.png,scissors
paper\paper_277.png,paper
scissors\scissors_682.png,scissors
scissors\scissors_666.png,scissors
paper\paper_591.png,paper
rock\rock_151.png,rock
scissors\scissors_573.png,scissors
scissors\scissors_793.png,scissors
scissors\scissors_288.png,scissors
scissors\scissors_403.png,scissors
scissors\scissors_232.png,scissors
rock\rock_609.png,rock
paper\paper_249.png,paper
paper\paper_617.png,paper
paper\paper_808.png,paper
paper\paper_254.png,paper
rock\rock_421.png,rock
rock\rock_22.png,rock
rock\rock_874.png,rock
paper\paper_745.png,paper
rock\rock_169.png,rock
rock\rock_179.png,rock
rock\rock_681.png,rock
scissors\scissors_491.png,scissors
scissors\scissors_238.png,scissors
paper\paper_43.png,paper
rock\rock_854.png,rock
rock\rock_438.png,rock
scissors\scissors_883.png,scissors
scissors\scissors_78.png,scissors
paper\paper_773.png,paper
scissors\scissors_646.png,scissors
paper\paper_96.png,paper
rock\rock_242.png,rock
rock\rock_181.png,rock
scissors\scissors_816.png,scissors
rock\rock_298.png,rock
rock\rock_141.png,rock
scissors\scissors_519.png,scissors
paper\paper_109.png,paper
scissors\scissors_167.png,scissors
scissors\scissors_511.png,scissors
paper\paper_840.png,paper
paper\paper_333.png,paper
scissors\scissors_91.png,scissors
scissors\scissors_580.png,scissors
rock\rock_52.png,rock
rock\rock_707.png,rock
scissors\scissors_565.png,scissors
rock\rock_891.png,rock
scissors\scissors_820.png,scissors
scissors\scissors_665.png,scissors
rock\rock_554.png,rock
scissors\scissors_464.png,scissors
scissors\scissors_7.png,scissors
scissors\scissors_34.png,scissors
rock\rock_190.png,rock
rock\rock_630.png,rock
scissors\scissors_788.png,scissors
paper\paper_590.png,paper
scissors\scissors_198.png,scissors
paper\paper_165.png,paper
rock\rock_505.png,rock
rock\rock_717.png,rock
scissors\scissors_48.png,scissors
paper\paper_129.png,paper
rock\rock_651.png,rock
paper\paper_355.png,paper
scissors\scissors_1.png,scissors
scissors\scissors_123.png,scissors
rock\rock_199.png,rock
rock\rock_534.png,rock
scissors\scissors_333.png,scissors
scissors\scissors_578.png,scissors
paper\paper_211.png,paper
scissors\scissors_656.png,scissors
paper\paper_164.png,paper
paper\paper_583.png,paper
scissors\scissors_356.png,scissors
rock\rock_481.png,rock
rock\rock_230.png,rock
scissors\scissors_214.png,scissors
rock\rock_371.png,rock
scissors\scissors_540.png,scissors
scissors\scissors_754.png,scissors
rock\rock_700.png,rock
rock\rock_840.png,rock
scissors\scissors_601.png,scissors
paper\paper_868.png,paper
paper\paper_230.png,paper
rock\rock_310.png,rock
scissors\scissors_612.png,scissors
paper\paper_283.png,paper
paper\paper_202.png,paper
rock\rock_893.png,rock
scissors\scissors_318.png,scissors
rock\rock_90.png,rock
rock\rock_67.png,rock
paper\paper_594.png,paper
paper\paper_2.png,paper
paper\paper_152.png,paper
rock\rock_53.png,rock
scissors\scissors_149.png,scissors
rock\rock_415.png,rock
rock\rock_113.png,rock
