path,label
paper\paper_360.png,paper
paper\paper_461.png,paper
rock\rock_354.png,rock
scissors\scissors_534.png,scissors
paper\paper_572.png,paper
scissors\scissors_773.png,scissors
scissors\scissors_903.png,scissors
paper\paper_899.png,paper
paper\paper_47.png,paper
rock\rock_146.png,rock
rock\rock_814.png,rock
scissors\scissors_315.png,scissors
rock\rock_582.png,rock
paper\paper_101.png,paper
scissors\scissors_298.png,scissors
paper\paper_804.png,paper
paper\paper_188.png,paper
rock\rock_875.png,rock
rock\rock_274.png,rock
paper\paper_460.png,paper
scissors\scissors_800.png,scissors
scissors\scissors_533.png,scissors
rock\rock_671.png,rock
paper\paper_274.png,paper
paper\paper_18.png,paper
scissors\scissors_579.png,scissors
rock\rock_572.png,rock
rock\rock_343.png,rock
paper\paper_36.png,paper
scissors\scissors_33.png,scissors
paper\paper_93.png,paper
rock\rock_144.png,rock
scissors\scissors_402.png,scissors
rock\rock_579.png,rock
scissors\scissors_325.png,scissors
paper\paper_520.png,paper
rock\rock_612.png,rock
scissors\scissors_148.png,scissors
rock\rock_635.png,rock
scissors\scissors_673.png,scissors
rock\rock_675.png,rock
scissors\scissors_142.png,scissors
rock\rock_828.png,rock
rock\rock_781.png,rock
rock\rock_446.png,rock
paper\paper_670.png,paper
scissors\scissors_500.png,scissors
rock\rock_853.png,rock
scissors\scissors_524.png,scissors
rock\rock_655.png,rock
scissors\scissors_888.png,scissors
paper\paper_142.png,paper
rock\rock_250.png,rock
paper\paper_94.png,paper
scissors\scissors_823.png,scissors
paper\paper_335.png,paper
rock\rock_321.png,rock
paper\paper_65.png,paper
scissors\scissors_269.png,scissors
scissors\scissors_378.png,scissors
rock\rock_178.png,rock
paper\paper_542.png,paper
scissors\scissors_35.png,scissors
scissors\scissors_481.png,scissors
paper\paper_619.png,paper
scissors\scissors_738.png,scissors
rock\rock_23.png,rock
paper\paper_463.png,paper
rock\rock_624.png,rock
paper\paper_269.png,paper
scissors\scissors_334.png,scissors
rock\rock_500.png,rock
scissors\scissors_411.png,scissors
rock\rock_66.png,rock
scissors\scissors_67.png,scissors
paper\paper_420.png,paper
scissors\scissors_552.png,scissors
scissors\scissors_326.png,scissors
paper\paper_143.png,paper
rock\rock_389.png,rock
paper\paper_748.png,paper
scissors\scissors_512.png,scissors
paper\paper_496.png,paper
scissors\scissors_879.png,scissors
paper\paper_486.png,paper
scissors\scissors_80.png,scissors
scissors\scissors_753.png,scissors
paper\paper_635.png,paper
rock\rock_506.png,rock
scissors\scissors_21.png,scissors
paper\paper_232.png,paper
paper\paper_280.png,paper
scissors\scissors_381.png,scissors
paper\paper_703.png,paper
paper\paper_104.png,paper
scissors\scissors_372.png,scissors
scissors\scissors_267.png,scissors
rock\rock_324.png,rock
paper\paper_422.png,paper
scissors\scissors_564.png,scissors
paper\paper_387.png,paper
paper\paper_603.png,paper
rock\rock_863.png,rock
rock\rock_76.png,rock
paper\paper_372.png,paper
rock\rock_661.png,rock
scissors\scissors_561.png,scissors
scissors\scissors_517.png,scissors
scissors\scissors_193.png,scissors
paper\paper_849.png,paper
scissors\scissors_828.png,scissors
scissors\scissors_158.png,scissors
paper\paper_24.png,paper
paper\paper_290.png,paper
paper\paper_811.png,paper
scissors\scissors_102.png,scissors
paper\paper_762.png,paper
rock\rock_690.png,rock
rock\rock_544.png,rock
scissors\scissors_835.png,scissors
scissors\scissors_262.png,scissors
rock\rock_104.png,rock
paper\paper_120.png,paper
rock\rock_706.png,rock
paper\paper_720.png,paper
paper\paper_776.png,paper
scissors\scissors_68.png,scissors
scissors\scissors_282.png,scissors
rock\rock_658.png,rock
scissors\scissors_90.png,scissors
scissors\scissors_173.png,scissors
rock\rock_702.png,rock
paper\paper_201.png,paper
rock\rock_615.png,rock
paper\paper_725.png,paper
scissors\scissors_862.png,scissors
paper\paper_684.png,paper
scissors\scissors_571.png,scissors
rock\rock_755.png,rock
paper\paper_376.png,paper
paper\paper_568.png,paper
paper\paper_676.png,paper
paper\paper_756.png,paper
paper\paper_584.png,paper
paper\paper_800.png,paper
rock\rock_449.png,rock
scissors\scissors_330.png,scissors
scissors\scissors_705.png,scissors
scissors\scissors_297.png,scissors
scissors\scissors_635.png,scissors
paper\paper_453.png,paper
rock\rock_422.png,rock
paper\paper_610.png,paper
rock\rock_79.png,rock
paper\paper_634.png,paper
rock\rock_692.png,rock
rock\rock_180.png,rock
scissors\scissors_117.png,scissors
rock\rock_62.png,rock
rock\rock_622.png,rock
paper\paper_17.png,paper
paper\paper_833.png,paper
paper\paper_433.png,paper
paper\paper_191.png,paper
paper\paper_633.png,paper
scissors\scissors_259.png,scissors
rock\rock_263.png,rock
scissors\scissors_731.png,scissors
scissors\scissors_376.png,scissors
paper\paper_493.png,paper
paper\paper_825.png,paper
paper\paper_7.png,paper
scissors\scissors_463.png,scissors
paper\paper_90.png,paper
rock\rock_50.png,rock
paper\paper_275.png,paper
paper\paper_292.png,paper
scissors\scissors_219.png,scissors
rock\rock_611.png,rock
scissors\scissors_99.png,scissors
scissors\scissors_478.png,scissors
rock\rock_528.png,rock
scissors\scissors_554.png,scissors
rock\rock_124.png,rock
rock\rock_608.png,rock
scissors\scissors_31.png,scissors
scissors\scissors_744.png,scissors
scissors\scissors_727.png,scissors
rock\rock_463.png,rock
rock\rock_20.png,rock
scissors\scissors_110.png,scissors
rock\rock_412.png,rock
paper\paper_663.png,paper
scissors\scissors_336.png,scissors
scissors\scissors_30.png,scissors
paper\paper_317.png,paper
scissors\scissors_596.png,scissors
paper\paper_448.png,paper
paper\paper_307.png,paper
rock\rock_670.png,rock
rock\rock_352.png,rock
scissors\scissors_797.png,scissors
scissors\scissors_373.png,scissors
rock\rock_487.png,rock
rock\rock_459.png,rock
paper\paper_172.png,paper
scissors\scissors_846.png,scissors
scissors\scissors_880.png,scissors
rock\rock_667.png,rock
rock\rock_291.png,rock
rock\rock_545.png,rock
scissors\scissors_87.png,scissors
rock\rock_160.png,rock
paper\paper_166.png,paper
scissors\scissors_459.png,scissors
paper\paper_86.png,paper
rock\rock_46.png,rock
scissors\scissors_521.png,scissors
paper\paper_713.png,paper
paper\paper_475.png,paper
rock\rock_26.png,rock
scissors\scissors_493.png,scissors
rock\rock_400.png,rock
scissors\scissors_518.png,scissors
paper\paper_45.png,paper
scissors\scissors_294.png,scissors
paper\paper_552.png,paper
paper\paper_88.png,paper
rock\rock_740.png,rock
scissors\scissors_740.png,scissors
scissors\scissors_812.png,scissors
paper\paper_377.png,paper
scissors\scissors_866.png,scissors
paper\paper_894.png,paper
paper\paper_835.png,paper
paper\paper_87.png,paper
rock\rock_527.png,rock
scissors\scissors_428.png,scissors
scissors\scissors_406.png,scissors
paper\paper_135.png,paper
paper\paper_115.png,paper
rock\rock_316.png,rock
rock\rock_339.png,rock
scissors\scissors_680.png,scissors
rock\rock_167.png,rock
paper\paper_310.png,paper
paper\paper_719.png,paper
rock\rock_325.png,rock
scissors\scissors_106.png,scissors
rock\rock_1.png,rock
rock\rock_830.png,rock
rock\rock_132.png,rock
scissors\scissors_197.png,scissors
paper\paper_160.png,paper
scissors\scissors_125.png,scissors
scissors\scissors_391.png,scissors
paper\paper_111.png,paper
rock\rock_284.png,rock
scissors\scissors_295.png,scissors
scissors\scissors_465.png,scissors
paper\paper_184.png,paper
paper\paper_248.png,paper
scissors\scissors_792.png,scissors
paper\paper_40.png,paper
rock\rock_187.png,rock
scissors\scissors_686.png,scissors
paper\paper_154.png,paper
paper\paper_687.png,paper
scissors\scissors_700.png,scissors
paper\paper_203.png,paper
paper\paper_814.png,paper
rock\rock_794.png,rock
paper\paper_465.png,paper
scissors\scissors_314.png,scissors
rock\rock_639.png,rock
scissors\scissors_764.png,scissors
scissors\scissors_422.png,scissors
scissors\scissors_228.png,scissors
paper\paper_80.png,paper
rock\rock_168.png,rock
scissors\scissors_761.png,scissors
rock\rock_672.png,rock
rock\rock_86.png,rock
paper\paper_589.png,paper
scissors\scissors_451.png,scissors
scissors\scissors_389.png,scissors
paper\paper_435.png,paper
rock\rock_796.png,rock
scissors\scissors_343.png,scissors
paper\paper_223.png,paper
scissors\scissors_223.png,scissors
paper\paper_495.png,paper
scissors\scissors_81.png,scissors
rock\rock_455.png,rock
