path,label
rock\rock_0084.png,rock
scissors\scissors_0091.png,scissors
rock\rock_0018.png,rock
scissors\scissors_0080.png,scissors
rock\rock_0089.png,rock
scissors\scissors_0052.png,scissors
paper\paper_0046.png,paper
scissors\scissors_0087.png,scissors
paper\paper_0065.png,paper
paper\paper_0012.png,paper
scissors\scissors_0030.png,scissors
scissors\scissors_0078.png,scissors
rock\rock_0094.png,rock
scissors\scissors_0074.png,scissors
paper\paper_0034.png,paper
paper\paper_0039.png,paper
rock\rock_0074.png,rock
scissors\scissors_0057.png,scissors
paper\paper_0076.png,paper
paper\paper_0016.png,paper
scissors\scissors_0062.png,scissors
rock\rock_0033.png,rock
rock\rock_0055.png,rock
rock\rock_0087.png,rock
rock\rock_0044.png,rock
scissors\scissors_0043.png,scissors
rock\rock_0088.png,rock
paper\paper_0062.png,paper
paper\paper_0043.png,paper
scissors\scissors_0015.png,scissors
scissors\scissors_0075.png,scissors
scissors\scissors_0028.png,scissors
rock\rock_0026.png,rock
rock\rock_0035.png,rock
paper\paper_0097.png,paper
scissors\scissors_0058.png,scissors
rock\rock_0011.png,rock
paper\paper_0082.png,paper
scissors\scissors_0068.png,scissors
rock\rock_0085.png,rock
rock\rock_0086.png,rock
rock\rock_0072.png,rock
rock\rock_0098.png,rock
rock\rock_0048.png,rock
rock\rock_0056.png,rock
rock\rock_0028.png,rock
rock\rock_0040.png,rock
rock\rock_0025.png,rock
paper\paper_0036.png,paper
paper\paper_0005.png,paper
scissors\scissors_0077.png,scissors
scissors\scissors_0010.png,scissors
rock\rock_0095.png,rock
paper\paper_0049.png,paper
paper\paper_0022.png,paper
paper\paper_0041.png,paper
rock\rock_0005.png,rock
rock\rock_0062.png,rock
paper\paper_0066.png,paper
paper\paper_0071.png,paper
paper\paper_0044.png,paper
scissors\scissors_0006.png,scissors
rock\rock_0066.png,rock
paper\paper_0019.png,paper
paper\paper_0100.png,paper
paper\paper_0092.png,paper
paper\paper_0021.png,paper
scissors\scissors_0064.png,scissors
paper\paper_0006.png,paper
rock\rock_0076.png,rock
paper\paper_0029.png,paper
paper\paper_0033.png,paper
rock\rock_0100.png,rock
paper\paper_0093.png,paper
scissors\scissors_0086.png,scissors
rock\rock_0046.png,rock
rock\rock_0012.png,rock
rock\rock_0003.png,rock
scissors\scissors_0032.png,scissors
paper\paper_0056.png,paper
rock\rock_0015.png,rock
paper\paper_0053.png,paper
paper\paper_0008.png,paper
scissors\scissors_0051.png,scissors
paper\paper_0010.png,paper
scissors\scissors_0033.png,scissors
scissors\scissors_0098.png,scissors
paper\paper_0088.png,paper
paper\paper_0058.png,paper
paper\paper_0068.png,paper
scissors\scissors_0001.png,scissors
scissors\scissors_0031.png,scissors
scissors\scissors_0066.png,scissors
scissors\scissors_0047.png,scissors
rock\rock_0082.png,rock
rock\rock_0030.png,rock
paper\paper_0054.png,paper
paper\paper_0055.png,paper
scissors\scissors_0038.png,scissors
paper\paper_0080.png,paper
scissors\scissors_0044.png,scissors
scissors\scissors_0082.png,scissors
rock\rock_0038.png,rock
rock\rock_0001.png,rock
scissors\scissors_0022.png,scissors
paper\paper_0064.png,paper
scissors\scissors_0072.png,scissors
scissors\scissors_0023.png,scissors
paper\paper_0084.png,paper
scissors\scissors_0050.png,scissors
scissors\scissors_0025.png,scissors
paper\paper_0052.png,paper
rock\rock_0068.png,rock
scissors\scissors_0092.png,scissors
paper\paper_0024.png,paper
scissors\scissors_0095.png,scissors
paper\paper_0002.png,paper
rock\rock_0010.png,rock
rock\rock_0093.png,rock
rock\rock_0042.png,rock
rock\rock_0017.png,rock
scissors\scissors_0055.png,scissors
paper\paper_0073.png,paper
scissors\scissors_0011.png,scissors
rock\rock_0007.png,rock
scissors\scissors_0005.png,scissors
rock\rock_0043.png,rock
scissors\scissors_0039.png,scissors
scissors\scissors_0088.png,scissors
rock\rock_0097.png,rock
scissors\scissors_0085.png,scissors
rock\rock_0090.png,rock
scissors\scissors_0083.png,scissors
rock\rock_0075.png,rock
paper\paper_0009.png,paper
scissors\scissors_0093.png,scissors
rock\rock_0054.png,rock
rock\rock_0002.png,rock
paper\paper_0032.png,paper
paper\paper_0099.png,paper
rock\rock_0080.png,rock
paper\paper_0083.png,paper
paper\paper_0014.png,paper
paper\paper_0026.png,paper
paper\paper_0013.png,paper
scissors\scissors_0070.png,scissors
rock\rock_0022.png,rock
scissors\scissors_0027.png,scissors
scissors\scissors_0054.png,scissors
scissors\scissors_0090.png,scissors
